,nome,genero,dtAtualizacao,nEpisodiosTotal,nEpisodios,status,img,link
217,Days,"Escolar, Esportes, Futebol, Shounen",02/07/2016,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/834_thumb2.jpg,https://punchsubs.net/principal#listar/834/episodios/stream/1
218,Deadman Wonderland,"Ação, Distopia, Mangá, SciFi",02/07/2011,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/124_thumb2.jpg,https://punchsubs.net/principal#listar/124/episodios/stream/1
219,Death Billiards,"Angústia, thriller, tragédia",24/12/2014,1,1,Lançando,https://punchsubs.net/imagens/projetos/animes/562_thumb2.jpg,https://punchsubs.net/principal#listar/562/filmes/stream/1
220,Death March kara Hajimaru Isekai Kyousoukyoku,Fantasia,03/01/2018,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2479_thumb2.jpg,https://punchsubs.net/principal#listar/2479/episodios/stream/1
221,Death Note,"Mystery,Police,Psychological,Supernatural,Thriller",25/11/2017,37,37,Completo,https://punchsubs.net/imagens/projetos/animes/2364_thumb2.jpg,https://punchsubs.net/principal#listar/2364/episodios/stream/1
222,Death Parade,"Drama, Jogo, Mistério, Psicológico, Suspense",09/01/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/580_thumb2.jpg,https://punchsubs.net/principal#listar/580/episodios/stream/1
223,Demichan wa Kataritai,"Comédia, Escolar, Fantasia, Seinen",22/12/2016,13,12,Completo,https://punchsubs.net/imagens/projetos/animes/1995_thumb2.jpg,https://punchsubs.net/principal#listar/1995/episodios/stream/1
224,Denki-gai no Honya-san,"Comédia, mangá, seinen",02/10/2014,12,13,Completo,https://punchsubs.net/imagens/projetos/animes/521_thumb2.jpg,https://punchsubs.net/principal#listar/521/episodios/stream/1
225,Denpa Kyoushi,"Comédia, Romance, Escolar, Shounen, Harém",04/04/2015,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/618_thumb2.jpg,https://punchsubs.net/principal#listar/618/episodios/stream/1
226,DEVIL SURVIVOR 2 the ANIMATION,RPG,06/06/2013,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/292_thumb2.jpg,https://punchsubs.net/principal#listar/292/episodios/stream/1
227,Devilman: Crybaby,"Ação, Demônios, Horror, Sobrenatural",03/01/2018,10,10,Completo,https://punchsubs.net/imagens/projetos/animes/2495_thumb2.jpg,https://punchsubs.net/principal#listar/2495/episodios/stream/1
228,Devils Line,"Ação, Drama, Romance, Seinen, Sobrenatural, Vampiros",07/04/2018,8,0,Lançando,https://punchsubs.net/imagens/projetos/animes/2554_thumb2.jpg,https://punchsubs.net/principal#listar/2554/episodios/stream/1
229,"Diabolik Lovers More,Blood","Shoujo, Escolar, Romance, Harém Inverso, Vampiros",04/10/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/705_thumb2.jpg,https://punchsubs.net/principal#listar/705/episodios/stream/1
230,Diamond no Ace,"Baseball, Mangá, Shounen, Esportes",05/10/2013,75,75,Completo,https://punchsubs.net/imagens/projetos/animes/375_thumb2.jpg,https://punchsubs.net/principal#listar/375/episodios/stream/1
231,Diamond no Ace (OVAs),"Baseball, Mangá, Shounen, Esportes",03/01/2015,1,3,Nota: Série de OVAS.,https://punchsubs.net/imagens/projetos/animes/565_thumb2.jpg,https://punchsubs.net/principal#listar/565/ovas/stream/1
232,Diamond no Ace 2ª Temporada,"Esporte, Escolar, Comédia, Shounen",03/04/2015,51,51,Nota: Segunda temporada,https://punchsubs.net/imagens/projetos/animes/606_thumb2.jpg,https://punchsubs.net/principal#listar/606/episodios/stream/1
233,Dies Irae,"Ação, Super Poderes, Magia",06/10/2017,12,13,Completo,https://punchsubs.net/imagens/projetos/animes/2312_thumb2.jpg,https://punchsubs.net/principal#listar/2312/episodios/stream/1
234,Digimon Adventure (Blu-Ray),"Ação, Fantasia, Shounen",22/03/2015,54,54,Lançando,https://punchsubs.net/imagens/projetos/animes/597_thumb2.jpg,https://punchsubs.net/principal#listar/597/episodios/stream/1
235,Digimon Adventure Tri,"Ação, Aventura, Comédia",20/11/2015,26,21,Lançando,https://punchsubs.net/imagens/projetos/animes/733_thumb2.jpg,https://punchsubs.net/principal#listar/733/episodios/stream/1
236,Digimon Tamers,"Ação, Fantasia, Shounen",24/10/2013,51,51,Completo,https://punchsubs.net/imagens/projetos/animes/392_thumb2.jpg,https://punchsubs.net/principal#listar/392/episodios/stream/1
237,Digimon Universe: Appli Monsters,"Ação, Aventura, Comédia, Fantasia",02/10/2016,51,51,Lançando,https://punchsubs.net/imagens/projetos/animes/897_thumb2.jpg,https://punchsubs.net/principal#listar/897/episodios/stream/1
238,Digimon Xros Wars,"Aventura, Ação, Shounen",26/09/2011,54,54,Completo,https://punchsubs.net/imagens/projetos/animes/62_thumb2.jpg,https://punchsubs.net/principal#listar/62/episodios/stream/1
239,Digimon Xros Wars II,"Aventura, Ação, Sci-Fi, Monstrinhos",26/03/2012,25,25,Completo,https://punchsubs.net/imagens/projetos/animes/159_thumb2.jpg,https://punchsubs.net/principal#listar/159/episodios/stream/1
240,Dimension W,"Ficção, Seinen",10/01/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/762_thumb2.jpg,https://punchsubs.net/principal#listar/762/episodios/stream/1
241,Dive!!,"Comédia, esportes",05/07/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2220_thumb2.jpg,https://punchsubs.net/principal#listar/2220/episodios/stream/1
242,Divine Gate,"Ação, Fantasia, Ficção Científica",08/01/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/748_thumb2.jpg,https://punchsubs.net/principal#listar/748/episodios/stream/1
243,Dog Days,"Ação, Aventura, Seinen",28/06/2011,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/105_thumb2.jpg,https://punchsubs.net/principal#listar/105/episodios/stream/1
244,Dog Days 2,"Ação, Aventura, Seinen",29/09/2012,13,13,Nota: Segunda temporada,https://punchsubs.net/imagens/projetos/animes/230_thumb2.jpg,https://punchsubs.net/principal#listar/230/episodios/stream/1
245,Dog Days 3,"Ação, Aventura, Seinen",10/01/2015,12,12,Nota: Terceira temporada,https://punchsubs.net/imagens/projetos/animes/584_thumb2.jpg,https://punchsubs.net/principal#listar/584/episodios/stream/1
246,Donten ni Warau,"Samurai, Comédia, Ação, Histórico",07/10/2014,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/543_thumb2.jpg,https://punchsubs.net/principal#listar/543/episodios/stream/1
247,Dorei-ku The Animation,"Drama, Psicológico",12/04/2018,6,0,Lançando,https://punchsubs.net/imagens/projetos/animes/2571_thumb2.jpg,https://punchsubs.net/principal#listar/2571/episodios/stream/1
248,Dragon Ball,"Ação, Aventura, Android, Combates, Comédia, Fantasia, Mágica, Mangá, Artes Marciais, Sci-Fi, Shounen, Super Poderes",19/05/2013,82,152,Nota: DVD-Rip,https://punchsubs.net/imagens/projetos/animes/287_thumb2.jpg,https://punchsubs.net/principal#listar/287/episodios/stream/1
249,Dragon Ball - Episode of Bardock,"OVA, Ação, Aventura",21/12/2011,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/166_thumb2.jpg,https://punchsubs.net/principal#listar/166/ovas/stream/1
250,Dragon Ball Kai,"Aventuras, Alienigenas, Cyborgs, Fantasia, Artes Marciais, Shounen, Viagens Espaciais, Super Poderes",28/08/2011,98,98,Completo,https://punchsubs.net/imagens/projetos/animes/4_thumb2.jpg,https://punchsubs.net/principal#listar/4/episodios/stream/1
251,Dragon Ball Kai (2014),"Lutas, Poderes especiais, Dragon Ball, Comédia",01/04/2014,61,61,Lançando,https://punchsubs.net/imagens/projetos/animes/437_thumb2.jpg,https://punchsubs.net/principal#listar/437/episodios/stream/1
252,Dragon Ball Super,"Ação, Aventura, Comédia, Shounen, Artes Marciais",05/07/2015,131,128,Completo,https://punchsubs.net/imagens/projetos/animes/658_thumb2.jpg,https://punchsubs.net/principal#listar/658/episodios/stream/1
253,Dragon Ball Z - A Batalha dos Deuses,"Aventuras, Alienigenas, Cyborgs, Fantasia, Artes Marciais, Shounen, Viagens Espaciais, Super Poderes",15/09/2013,1,1,Lançando,https://punchsubs.net/imagens/projetos/animes/359_thumb2.jpg,https://punchsubs.net/principal#listar/359/filmes/stream/1
254,Dragon Ball Z: A Ressurreição de Freeza,"Ação, Luta, Comédia",10/10/2015,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/721_thumb2.jpg,https://punchsubs.net/principal#listar/721/filmes/stream/1
255,Dragon Ball Z: A Ressurreição de Freeza - Trunks Edition,"Ação, Luta, Comédia",29/08/2016,1,1,Lançando,https://punchsubs.net/imagens/projetos/animes/877_thumb2.jpg,https://punchsubs.net/principal#listar/877/filmes/stream/1
256,Dragon Ball Z: Dead Zone,"Ação, Luta, Comédia",10/10/2015,1,1,Nota: Filme 01 - Versão do bluray em 1080p.,https://punchsubs.net/imagens/projetos/animes/722_thumb2.jpg,https://punchsubs.net/principal#listar/722/filmes/stream/1
257,Dragon Ball Z: The Tree of Might,"Ação, Luta, Comédia",06/12/2015,1,1,Nota: Terceiro Filme,https://punchsubs.net/imagens/projetos/animes/734_thumb2.jpg,https://punchsubs.net/principal#listar/734/filmes/stream/1
258,Dragon Ball Z: The Worlds Strongest,"Ação, Luta, Comédia",18/10/2015,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/730_thumb2.jpg,https://punchsubs.net/principal#listar/730/filmes/stream/1
259,Dragon Crisis,"Ação, Fantasia, Dragões, Ecchi, Colegial, Magia",28/03/2011,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/98_thumb2.jpg,https://punchsubs.net/principal#listar/98/episodios/stream/1
260,Dragon Quest: Dai no Daibouken (Fly),"Fantasia, Shounen, Clássico",17/11/2013,27,46,Lançando,https://punchsubs.net/imagens/projetos/animes/397_thumb2.jpg,https://punchsubs.net/principal#listar/397/episodios/stream/1
261,Dream Festival!,Musical,23/09/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/882_thumb2.jpg,https://punchsubs.net/principal#listar/882/episodios/stream/1
262,Dream Festival! R,"Musical, Idols",25/08/2017,12,12,Lançando,https://punchsubs.net/imagens/projetos/animes/2268_thumb2.jpg,https://punchsubs.net/principal#listar/2268/episodios/stream/1
263,Drifters,"Ação, Aventura, Comédia, Fantasia, Histórico, Samurai, Seinen",07/10/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/1968_thumb2.jpg,https://punchsubs.net/principal#listar/1968/episodios/stream/1
264,Druaga no Tou: the Aegis of Uruk,Aventura,02/06/2011,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/40_thumb2.jpg,https://punchsubs.net/principal#listar/40/episodios/stream/1
265,Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka,"Ação, Aventura, Romance, Comédia, Fantasia",03/04/2015,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/609_thumb2.jpg,https://punchsubs.net/principal#listar/609/episodios/stream/1
266,Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka: Familia Myth OVA,"Ação, Aventura, Romance, Comédia, Fantasia",15/12/2016,2,1,Lançando,https://punchsubs.net/imagens/projetos/animes/1987_thumb2.jpg,https://punchsubs.net/principal#listar/1987/ovas/stream/1
267,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,"Ação, Aventura, Fantasia",14/04/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2187_thumb2.jpg,https://punchsubs.net/principal#listar/2187/episodios/stream/1
268,Durarara!! (Blu-Ray),"Ação, Seinen, Violência",18/07/2015,26,25,Completo,https://punchsubs.net/imagens/projetos/animes/593_thumb2.jpg,https://punchsubs.net/principal#listar/593/episodios/stream/1
269,Durarara!!x2 Ketsu,"Ação, Mistério, Sobrenatural",09/01/2016,12,12,Nota: Temporada final,https://punchsubs.net/imagens/projetos/animes/757_thumb2.jpg,https://punchsubs.net/principal#listar/757/episodios/stream/1
270,Durarara!!x2 Shou,"Ação, Seinen, Violência",10/01/2015,12,12,Nota: Segunda temporada,https://punchsubs.net/imagens/projetos/animes/581_thumb2.jpg,https://punchsubs.net/principal#listar/581/episodios/stream/1
271,Durarara!!x2 Ten,"Ação, Mistério, Sobrenatural",04/07/2015,12,12,Nota: Terceira temporada,https://punchsubs.net/imagens/projetos/animes/652_thumb2.jpg,https://punchsubs.net/principal#listar/652/episodios/stream/1
272,Dynamic Chord,Musical,30/10/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2345_thumb2.jpg,https://punchsubs.net/principal#listar/2345/episodios/stream/1
273,elDLIVE,"Ação, Espaço, Ficção Científica",22/12/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2021_thumb2.jpg,https://punchsubs.net/principal#listar/2021/episodios/stream/1
274,Elfen Lied,"Ação, Angustia, Tiroteio, Horror, Mangá, Nudez, Ficção Científica, Seinen, Super Poderes, Tragédia, Violência",14/04/2013,14,14,Nota: BD-Rip,https://punchsubs.net/imagens/projetos/animes/280_thumb2.jpg,https://punchsubs.net/principal#listar/280/episodios/stream/1
275,Elfen Lied Special,"Horror, Psicológico, Sobrenatural, Drama, Ecchi",07/09/2017,1,1,Lançando,https://punchsubs.net/imagens/projetos/animes/2271_thumb2.jpg,https://punchsubs.net/principal#listar/2271/ovas/stream/1
276,Elsword: El Lady,"Ação, Fantasia, Jogo",04/01/2017,1,12,Lançando,https://punchsubs.net/imagens/projetos/animes/2046_thumb2.jpg,https://punchsubs.net/principal#listar/2046/episodios/stream/1
277,Emiya-san Chi no Kyou no Gohan,"Slice of Life, Comédia",08/01/2018,4,1,Completo,https://punchsubs.net/imagens/projetos/animes/2506_thumb2.jpg,https://punchsubs.net/principal#listar/2506/ovas/stream/1
278,Endride,"Aventura, Fantasia",02/04/2016,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/786_thumb2.jpg,https://punchsubs.net/principal#listar/786/episodios/stream/1
279,Enmusubi no Youko-chan,"Drama, Fantasia, Romance, Sobrenatural",01/07/2017,24,23,Lançando,https://punchsubs.net/imagens/projetos/animes/2203_thumb2.jpg,https://punchsubs.net/principal#listar/2203/episodios/stream/1
280,Eromanga Sensei,"Comédia, Drama, Romance",08/04/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2098_thumb2.jpg,https://punchsubs.net/principal#listar/2098/episodios/stream/1
281,Etotama: Eto Tamashii,"Comédia, Fantasia",09/04/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/632_thumb2.jpg,https://punchsubs.net/principal#listar/632/episodios/stream/1
282,Eureka Seven AO,"Ação, Mecha, Militar",20/11/2012,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/210_thumb2.jpg,https://punchsubs.net/principal#listar/210/episodios/stream/1
283,Evil or Live,Horror,10/10/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2327_thumb2.jpg,https://punchsubs.net/principal#listar/2327/episodios/stream/1
284,Fairy Tail,"Fantasia, Magia, Ação",30/03/2013,174,175,Completo,https://punchsubs.net/imagens/projetos/animes/20_thumb2.jpg,https://punchsubs.net/principal#listar/20/episodios/stream/1
285,Fairy Tail (2014),"Fantasia, Magia, Ação",01/04/2014,92,92,Completo,https://punchsubs.net/imagens/projetos/animes/438_thumb2.jpg,https://punchsubs.net/principal#listar/438/episodios/stream/1
286,Fairy Tail - A Sacerdotisa da Fênix,"Fantasia, Magia, Ação",11/03/2013,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/282_thumb2.jpg,https://punchsubs.net/principal#listar/282/filmes/stream/1
287,Fairy Tail Movie 2: Dragon Cry,"Ação, Aventura, Comédia, Magia, Fantasia, Shounen",27/11/2017,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/2368_thumb2.jpg,https://punchsubs.net/principal#listar/2368/filmes/stream/1
288,Fairy Tail OVA 2016,"Fantasia, Magia, Ação, Ecchi",17/12/2016,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/1989_thumb2.jpg,https://punchsubs.net/principal#listar/1989/ovas/stream/1
289,Fairy Tail x Rave,"Shounen, Crossover",24/08/2013,1,1,Lançando,https://punchsubs.net/imagens/projetos/animes/353_thumb2.jpg,https://punchsubs.net/principal#listar/353/ovas/stream/1
290,Fairy Tail Zero,"Fantasia, Magia, Ação",09/01/2016,10,10,Completo,https://punchsubs.net/imagens/projetos/animes/754_thumb2.jpg,https://punchsubs.net/principal#listar/754/episodios/stream/1
291,Fantasista Doll,Gênero:,08/07/2013,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/336_thumb2.jpg,https://punchsubs.net/principal#listar/336/episodios/stream/1
292,Fate/Apocrypha,"Ação, Histórico, Supernatural, Drama, Magia, Fantasia",01/07/2017,25,25,Completo,https://punchsubs.net/imagens/projetos/animes/2204_thumb2.jpg,https://punchsubs.net/principal#listar/2204/episodios/stream/1
293,Fate/Extra Last Encore,"Ação, Fantasia, Magia",03/01/2018,10,12,Pausado,https://punchsubs.net/imagens/projetos/animes/2493_thumb2.jpg,https://punchsubs.net/principal#listar/2493/episodios/stream/1
294,Fate/Grand Order: First Order,"Ação, Supernatural, Magia, Fantasia",31/12/2016,1,1,Lançando,https://punchsubs.net/imagens/projetos/animes/2037_thumb2.jpg,https://punchsubs.net/principal#listar/2037/filmes/stream/1
295,Fate/Kaleid Liner Prisma Illya 2wei Herz!,Gênero:,24/07/2015,10,10,Completo,https://punchsubs.net/imagens/projetos/animes/677_thumb2.jpg,https://punchsubs.net/principal#listar/677/episodios/stream/1
296,Fate/Kaleid Liner Prisma Illya 2wei!,"Fantasia, Magia, Mahou Shoujo",10/07/2014,10,10,Completo,https://punchsubs.net/imagens/projetos/animes/495_thumb2.jpg,https://punchsubs.net/principal#listar/495/episodios/stream/1
297,Fate/kaleid liner Prisma Illya 3rei!!,"Ação, Comédia, Fantasia, Magia, Vida Cotidiana",06/07/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/849_thumb2.jpg,https://punchsubs.net/principal#listar/849/episodios/stream/1
298,Fate/Stay Night,"Fantasia, Ação, Visual Novel, Magia, Seinen, Super Poderes, Luta de Espadas, Tragédia e Violência",16/04/2013,24,24,Nota: História pós Fate/Zero,https://punchsubs.net/imagens/projetos/animes/216_thumb2.jpg,https://punchsubs.net/principal#listar/216/episodios/stream/1
299,Fate/Stay Night Movie: Heaven's Feel - I. Presage Flower,"Ação, Fantasia, Magia, Sobrenatural",09/05/2018,2,1,Completo,https://punchsubs.net/imagens/projetos/animes/2579_thumb2.jpg,https://punchsubs.net/principal#listar/2579/filmes/stream/1
300,Fate/Stay Night: Unlimited Blade Works,"Ação, Fantasia, Magia, Sobrenatural",15/12/2013,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/402_thumb2.jpg,https://punchsubs.net/principal#listar/402/episodios/stream/1
301,Fate/Stay Night: Unlimited Blade Works - Sunny Day,"Ação, Fantasia, Shounen, Magia, Sobrenatural",12/10/2015,1,1,Lançando,https://punchsubs.net/imagens/projetos/animes/725_thumb2.jpg,https://punchsubs.net/principal#listar/725/ovas/stream/1
302,Fate/Stay Night: Unlimited Blade Works 2ª Temporada,"Ação, Fantasia, Shounen, Magia, Sobrenatural",03/04/2015,13,13,Nota: Segunda temporada,https://punchsubs.net/imagens/projetos/animes/602_thumb2.jpg,https://punchsubs.net/principal#listar/602/episodios/stream/1
303,Fate/Zero,"Novel, Seinen, Fantasia",25/12/2011,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/151_thumb2.jpg,https://punchsubs.net/principal#listar/151/episodios/stream/1
304,Fate/Zero 2ª Temporada,"Novel, Seinen, Fantasia",23/06/2012,12,12,Nota: Segunda temporada,https://punchsubs.net/imagens/projetos/animes/200_thumb2.jpg,https://punchsubs.net/principal#listar/200/episodios/stream/1
305,Flip Flappers,"Comédia, Ficção Científica",06/10/2016,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/1963_thumb2.jpg,https://punchsubs.net/principal#listar/1963/episodios/stream/1
306,Flying Witch,"Comédia, Shounen, Sobrenatural, Vida Cotidiana",09/04/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/812_thumb2.jpg,https://punchsubs.net/principal#listar/812/episodios/stream/1
307,Flying Witch Petit,"Comédia, Slice of Life, Sobrenatural",24/08/2017,10,10,Completo,https://punchsubs.net/imagens/projetos/animes/2262_thumb2.jpg,https://punchsubs.net/principal#listar/2262/episodios/stream/1
308,Frame Arms Girl,"Mecha, Otakice, Figures",04/04/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2077_thumb2.jpg,https://punchsubs.net/principal#listar/2077/episodios/stream/1
309,Free! Eternal Summer,"Comédia, Esporte, Escolar, Vida",02/07/2014,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/480_thumb2.jpg,https://punchsubs.net/principal#listar/480/episodios/stream/1
310,Freezing (Blu-Ray),"Peitos, Ação, Ecchi, Mangá, Vida Escolar, Seinen, Super Poderes, Violência",28/08/2013,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/356_thumb2.jpg,https://punchsubs.net/principal#listar/356/episodios/stream/1
311,Freezing: Vibration,"Ação, comédia, drama, ecchi, artes marciais, romance, ficção científica, harém, militar, seinen",05/10/2013,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/376_thumb2.jpg,https://punchsubs.net/principal#listar/376/episodios/stream/1
312,Fudanshi Koukou Seikatsu,"Comédia, Escolar, Shoujo",05/07/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/842_thumb2.jpg,https://punchsubs.net/principal#listar/842/episodios/stream/1
313,Fukigen na Mononokean,"Comédia, Shounen, Sobrenatural",03/07/2016,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/838_thumb2.jpg,https://punchsubs.net/principal#listar/838/episodios/stream/1
314,Fukumenkei Noise,"Música, Romance, Shoujo",11/04/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2105_thumb2.jpg,https://punchsubs.net/principal#listar/2105/episodios/stream/1
315,Full Metal Panic! Invisible Victory,"Ação, Militar, Mecha",13/04/2018,6,12,Lançando,https://punchsubs.net/imagens/projetos/animes/2574_thumb2.jpg,https://punchsubs.net/principal#listar/2574/episodios/stream/1
316,FullMetal Alchemist: Brotherhood,"Ação, Fantasia, Mágica, Shounen, Violência",04/07/2010,64,64,Completo,https://punchsubs.net/imagens/projetos/animes/6_thumb2.jpg,https://punchsubs.net/principal#listar/6/episodios/stream/1
317,Fullmetal Alchemist: The Sacred Star of Milos,"Ação, Aventura, Fantasia, Shonen",14/07/2012,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/184_thumb2.jpg,https://punchsubs.net/principal#listar/184/episodios/stream/1
318,Fumikiri Jikan,"Comédia, Slice of Life",09/04/2018,6,0,Lançando,https://punchsubs.net/imagens/projetos/animes/2566_thumb2.jpg,https://punchsubs.net/principal#listar/2566/episodios/stream/1
319,Fune wo Amu,"Drama, Romance, Vida Cotidiana",14/10/2016,11,11,Completo,https://punchsubs.net/imagens/projetos/animes/1979_thumb2.jpg,https://punchsubs.net/principal#listar/1979/episodios/stream/1
320,Fushigi na Somera-chan,"Comédia, Magia, Vida Cotidiana, Curto",08/10/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/715_thumb2.jpg,https://punchsubs.net/principal#listar/715/episodios/stream/1
321,Fuuka,"Drama, Ecchi, Escolar, Música, Romance, Shounen",22/12/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/1996_thumb2.jpg,https://punchsubs.net/principal#listar/1996/episodios/stream/1
322,Fuuun Ishin Dai Shougun,Mecha,10/04/2014,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/467_thumb2.jpg,https://punchsubs.net/principal#listar/467/episodios/stream/1
323,Gabriel DropOut,"Comédia, Escolar, Shounen, Supernatural",22/12/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/1997_thumb2.jpg,https://punchsubs.net/principal#listar/1997/episodios/stream/1
324,Gabriel Dropout OVA,"Comédia, Sobrenatural",17/06/2017,2,2,Completo,https://punchsubs.net/imagens/projetos/animes/2197_thumb2.jpg,https://punchsubs.net/principal#listar/2197/ovas/stream/1
325,Gakkou Gurashi!,"Mistério, Horror, Escolar, Vida Cotidiana, Sobrenatural, Seinen",09/07/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/672_thumb2.jpg,https://punchsubs.net/principal#listar/672/episodios/stream/1
326,Gakuen Babysitters,"Comédia, Escolar, Shoujo, Slice of Life",03/01/2018,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2469_thumb2.jpg,https://punchsubs.net/principal#listar/2469/episodios/stream/1
327,Gakuen Handsome,"Comédia, Escolar, Paródia, Shounen Ai",03/10/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/1942_thumb2.jpg,https://punchsubs.net/principal#listar/1942/episodios/stream/1
328,Gakusen Toshi Asterisk,"Ação, Comédia, Ecchi, Fantasia, Harém, Romance, Escolar, Ficção Científica, Sobrenatural",03/10/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/694_thumb2.jpg,https://punchsubs.net/principal#listar/694/episodios/stream/1
329,Gakusen Toshi Asterisk (2016),"Comédia, Ecchi, Fantasia, Harém, Escolar, Romance, Sobrenatural, Ficção",02/04/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/784_thumb2.jpg,https://punchsubs.net/principal#listar/784/episodios/stream/1
330,Gamers!,"Comédia, Romance, Escolar",13/07/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2247_thumb2.jpg,https://punchsubs.net/principal#listar/2247/episodios/stream/1
331,Gangsta.,"Ação, Comédia, Seinen",02/07/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/644_thumb2.jpg,https://punchsubs.net/principal#listar/644/episodios/stream/1
332,GARO: Guren no Tsuki,"Ação, Demônios, Fantasia, Magia, Sobrenatural",09/10/2015,23,24,Completo,https://punchsubs.net/imagens/projetos/animes/720_thumb2.jpg,https://punchsubs.net/principal#listar/720/episodios/stream/1
333,Garo: Honoo no Kokuin,"Ação, Demônios, Luta",03/10/2014,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/524_thumb2.jpg,https://punchsubs.net/principal#listar/524/episodios/stream/1
334,Garo: Vanishing Line,"Ação, Fantasia",07/10/2017,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/2319_thumb2.jpg,https://punchsubs.net/principal#listar/2319/episodios/stream/1
335,Gatchaman Crowds,"Aventura, Sci-Fi",12/07/2013,13,12,Completo,https://punchsubs.net/imagens/projetos/animes/341_thumb2.jpg,https://punchsubs.net/principal#listar/341/episodios/stream/1
336,Gatchaman Crowds Insight,"Aventura, Ficção Científica",01/07/2015,13,12,Completo,https://punchsubs.net/imagens/projetos/animes/643_thumb2.jpg,https://punchsubs.net/principal#listar/643/episodios/stream/1
337,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri","Ação, Aventura, Fantasia, Militar",03/07/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/647_thumb2.jpg,https://punchsubs.net/principal#listar/647/episodios/stream/1
338,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri - Enryuu-hen","Ação, Aventura, Fantasia, Militar",08/01/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/750_thumb2.jpg,https://punchsubs.net/principal#listar/750/episodios/stream/1
339,Gegege no Kitarou (2018),"Comédia, Demônios, Shounen, Sobrenatural",01/04/2018,9,0,Lançando,https://punchsubs.net/imagens/projetos/animes/2527_thumb2.jpg,https://punchsubs.net/principal#listar/2527/episodios/stream/1
