,nome,genero,dtAtualizacao,nEpisodiosTotal,nEpisodios,status,img,link
880,Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto Hen,"Histórico, Samurai, Shounen, Era Meiji",17/02/2013,2,2,Completo,https://punchsubs.net/imagens/projetos/animes/191_thumb2.jpg,https://punchsubs.net/principal#listar/191/ovas/stream/1
881,Ryuugajou Nanana no Maizoukin,"Comédia, Romance, Sobrenatural",10/04/2014,11,11,Completo,https://punchsubs.net/imagens/projetos/animes/470_thumb2.jpg,https://punchsubs.net/principal#listar/470/episodios/stream/1
882,Ryuuou no Oshigoto!,"Comédia, Jogo, Slice of Life",03/01/2018,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2476_thumb2.jpg,https://punchsubs.net/principal#listar/2476/episodios/stream/1
883,Sabagebu!,"Mangá, Shoujo, Armas de Fogo, Batalhas",29/06/2014,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/479_thumb2.jpg,https://punchsubs.net/principal#listar/479/episodios/stream/1
884,Sacred Seven,Gênero:,18/09/2011,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/132_thumb2.jpg,https://punchsubs.net/principal#listar/132/episodios/stream/1
885,Saenai Heroine no Sodatekata,"Comédia, paródia, novel",08/01/2015,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/576_thumb2.jpg,https://punchsubs.net/principal#listar/576/episodios/stream/1
886,Saenai Heroine no Sodatekata ♭,"Harém, Comédia, Romance, Ecchi, Escolar",06/04/2017,12,11,Nota: Episódio 0 incluso,https://punchsubs.net/imagens/projetos/animes/2084_thumb2.jpg,https://punchsubs.net/principal#listar/2084/episodios/stream/1
887,Sagrada Reset,"Mistério, Sobrenatural, Colegial",05/04/2017,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/2083_thumb2.jpg,https://punchsubs.net/principal#listar/2083/episodios/stream/1
888,Saijaku Muhai no Bahamut,"Ação, Ecchi, Fantasia, Harém, Mecha, Romance, Sobrenatural, Escolar",11/01/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/769_thumb2.jpg,https://punchsubs.net/principal#listar/769/episodios/stream/1
889,Saiki Kusuo no Psi-nan,"Comédia, Shounen, Escolar, Sobrenatural",11/07/2016,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/864_thumb2.jpg,https://punchsubs.net/principal#listar/864/episodios/stream/1
